Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
DEXTF Protocol,Protocols,DEXTF,Ethereum,-,-35.89%,-0.52%,"$3,198,078",3198078,2021-05-23 07:18:36.617352
SnowSwap,Dexes,SNOW,Ethereum,-,-37.97%,-0.90%,"$3,082,847",3082847,2021-05-23 07:18:36.617352
CreamSwap,Dexes,CREAM,Ethereum,-,-32.89%,-0.52%,"$2,990,545",2990545,2021-05-23 07:18:36.617352
0.exchange,Dexes,ZERO,Multi-Chain,-,-68.23%,-0.13%,"$2,974,770",2974770,2021-05-23 07:18:36.617352
Augur,Dexes,REP,Ethereum,-,-39.67%,-1.51%,"$2,962,593",2962593,2021-05-23 07:18:36.617352
Jarvis Network,Protocols,JRT,Ethereum,-,+171%,-0.15%,"$2,868,177",2868177,2021-05-23 07:18:36.617352
Yam Finance,Protocols,YAM,Ethereum,-,-24.74%,-0.49%,"$2,841,816",2841816,2021-05-23 07:18:36.617352
Siren,Options,SI,Ethereum,-,-20.13%,-0.15%,"$2,792,504",2792504,2021-05-23 07:18:36.617352
Auctus,Options,AUC,Ethereum,-,-44.11%,-1.22%,"$2,610,080",2610080,2021-05-23 07:18:36.617352
Growth DeFi,Yield,GRO,Ethereum,-,-52.21%,0%,"$2,518,715",2518715,2021-05-23 07:18:36.617352
zLot,Staking,zLot,Ethereum,-,-33.55%,-0.12%,"$2,472,636",2472636,2021-05-23 07:18:36.617352
YF Link,Dexes,YFL,Ethereum,-56.94%,"$2,427,898",-,"$2,427,898",2427898,2021-05-23 07:18:36.617352
Olive Cash,Yield,OLIVE,Multi-Chain,-,+0.47%,-0.60%,"$2,426,496",2426496,2021-05-23 07:18:36.617352
Connext,Protocols,-,Ethereum,-,-19.07%,-3.14%,"$2,317,517",2317517,2021-05-23 07:18:36.617352
ForceDAO,Yield,FORCE,Ethereum,-,-35.68%,-0.37%,"$1,897,810",1897810,2021-05-23 07:18:36.617352
XDeFi,Dexes,XDEX,Ethereum,-,-36.23%,0%,"$1,822,045",1822045,2021-05-23 07:18:36.617352
N3RD Finance,Yield,N3RDz,Ethereum,-,-44.14%,-1.40%,"$1,787,741",1787741,2021-05-23 07:18:36.617352
MCDEX,Dexes,MCB,Ethereum,-,-39.86%,-0.86%,"$1,640,177",1640177,2021-05-23 07:18:36.617352
Ram Protocol,Lending,RAM,ThunderCore,-,-,-0.31%,"$1,544,951",1544951,2021-05-23 07:18:36.617352
