,Protocol,Category,Symbol,Chain,1h Change,1d Change,7d Change,TVL,TVL_converted,Snapshot_taken
137,0.exchange,Dexes,ZERO,Multi-Chain,+6.54%,+34.29%,+0.16%,"$11,922,260",11922260,2021-04-30 23:59:00.921556
138,Allinx,Yield,INX,Binance,+2.32%,+50.80%,-0.17%,"$11,669,409",11669409,2021-04-30 23:59:00.921556
139,Honeyswap,Dexes,HNY,xDai,+4.88%,+30.96%,+0.25%,"$11,410,876",11410876,2021-04-30 23:59:00.921556
140,Penguin Finance,Dexes,PEFI,Avalanche,+65.14%,+84.45%,+1.01%,"$11,164,696",11164696,2021-04-30 23:59:00.921556
141,DDEX,Dexes,-,Ethereum,+1.69%,+18.66%,-0.38%,"$10,136,378",10136378,2021-04-30 23:59:00.921556
142,YF Link,Dexes,YFL,Ethereum,+10.40%,+38.10%,-0.18%,"$9,278,925",9278925,2021-04-30 23:59:00.921556
143,ForceDAO,Yield,-,Ethereum,-23.91%,-45.34%,-0.30%,"$9,004,747",9004747,2021-04-30 23:59:00.921556
144,ForTube,Lending,FOR,Ethereum,+0.78%,+6.71%,-0.12%,"$8,288,036",8288036,2021-04-30 23:59:00.921556
145,BondAppetit,Assets,BAG,Ethereum,+1.13%,-,+0.01%,"$8,044,348",8044348,2021-04-30 23:59:00.921556
146,Governor DAO,Protocols,GDAO,Ethereum,-0.83%,+4.49%,-0.45%,"$7,843,746",7843746,2021-04-30 23:59:00.921556
147,Oxygen,Lending,OXY,Solana,+2.80%,+17.30%,-0.21%,"$7,289,845",7289845,2021-04-30 23:59:00.921556
148,Hakka Finance,Yield,HAKKA,Ethereum,+1.25%,+15.10%,-0.50%,"$7,273,896",7273896,2021-04-30 23:59:00.921556
149,Cover Protocol,Insurance,COVER,Ethereum,-0.08%,-32.58%,< 0.0001%,"$6,754,552",6754552,2021-04-30 23:59:00.921556
150,Growth DeFi,Yield,GRO,Ethereum,+4.60%,+3.26%,0%,"$6,062,201",6062201,2021-04-30 23:59:00.921556
